country,hdi_rank_2017,edu_index_2017,ratio_1990,ratio_1995,ratio_2000,ratio_2005,ratio_2010,ratio_2011,ratio_2012,ratio_2013,ratio_2014,ratio_2015,ratio_2016,ratio_2017,latest_ratio,latest_ratio_year,,
Afghanistan,168,0.415,41,,,,44,44,45,46,,44,,44,44,2017,,83
Albania,68,0.745,,,23,,20,20,19,19,19,19,18,,18,2016,,2
Algeria,85,0.664,28,27,28,25,23,23,23,23,24,24,24,,24,2016,,
Andorra,35,0.714,,,,11,10,10,10,9,10,10,10,,10,2016,,
Angola,147,0.498,,,,,46,43,,,,,,,43,2011,,
Antigua and Barbuda,70,0.676,,,19,,15,15,14,,14,14,,,14,2015,,
Argentina,47,0.816,,,20,17,,,,,,,,,17,2005,,
Armenia,83,0.749,,,,21,,,,,,,,,21,2005,,
Australia,3,0.929,,18,,,,,,,,,,,18,1995,,
Austria,20,0.852,11,12,,12,11,11,11,11,11,11,10,,10,2016,,
Azerbaijan,80,0.709,,19,19,13,11,11,12,12,13,13,15,,15,2016,,
Bahamas,54,0.726,,22,,,14,,,,,,19,,19,2016,,
Bahrain,43,0.758,21,20,,,,12,12,12,12,12,12,,12,2016,,
Bangladesh,136,0.508,63,,,47,43,40,,,,36,34,,34,2016,,
Barbados,58,0.777,18,,18,15,13,13,,,13,13,13,,13,2016,,
Belarus,53,0.838,,20,18,16,15,15,15,15,16,18,18,,18,2016,,
Belgium,17,0.893,,,12,11,11,11,11,11,11,11,,,11,2015,,
Belize,106,0.705,,,23,24,22,22,22,23,22,20,21,,21,2016,,
Benin,163,0.471,31,50,53,47,46,44,44,44,46,45,,,45,2015,,
Bhutan,134,0.445,,35,41,31,26,25,24,29,40,40,38,,38,2016,,
Bolivia,118,0.687,,,,,,16,16,18,18,18,18,,18,2016,,
Bosnia and Herzegovina,77,0.718,,,,,,,,17,17,17,17,,17,2016,,
Botswana,101,0.659,32,25,27,26,,,23,23,,,,,23,2013,,
Brazil,79,0.686,,,25,21,22,21,21,21,21,22,,,22,2015,,
Brunei,39,0.704,,15,14,10,11,11,11,10,10,10,10,,10,2016,,
Bulgaria,51,0.805,,,17,16,17,17,17,18,18,,18,,18,2016,,
Burkina Faso,183,0.286,55,51,49,47,52,53,48,46,44,42,42,,42,2016,,
Burundi,185,0.424,66,,55,49,51,48,47,45,44,43,50,,50,2016,,
Cape Verde,125,0.555,33,,29,26,24,23,23,23,23,22,21,,21,2016,,
Cambodia,146,0.487,35,45,50,53,48,47,46,47,45,46,43,,43,2016,,
Cameroon,151,0.547,51,46,,48,46,45,46,,44,41,43,,43,2016,,
Canada,12,0.899,16,16,17,,,,,,,,,,17,2000,,
Central African Republic,188,0.341,90,,,89,84,81,80,,,,83,,83,2016,,
